"temp","humd","LM35","voltage","current","light"
"31.30","74.50","93.84","0.00","0.00","0"
"31.30","74.70","87.49","0.00","0.40","0"
"31.30","74.80","125.61","0.00","-0.03","0"
"31.40","74.70","96.29","0.00","-0.45","0"
"31.40","74.90","105.57","0.00","-0.45","0"
"31.40","74.60","88.95","0.00","0.03","0"
"31.30","74.50","93.84","0.00","-0.21","0"
"31.30","74.60","95.31","0.00","2.03","0"
"31.30","74.80","94.82","0.00","-0.42","0"
"31.30","74.50","82.60","0.00","0.03","0"
"31.30","74.70","87.49","0.00","-0.40","0"
"31.30","74.80","93.84","0.00","0.08","0"
"31.30","74.60","96.29","0.00","0.92","0"
"31.20","74.80","100.20","0.00","-0.05","0"
"31.30","74.50","93.84","0.00","0.11","0"
"31.30","74.40","93.35","0.00","-0.87","0"
"31.40","74.70","93.84","0.00","-0.21","0"
"31.30","74.60","92.86","0.00","0.08","0"
"31.30","74.60","93.84","0.00","-0.29","0"
"31.30","74.60","93.35","0.00","-0.21","0"
"31.30","74.70","95.31","0.00","-0.21","0"
"31.30","74.40","92.86","0.00","0.55","0"
"31.40","74.50","100.20","0.00","-0.21","0"
"31.30","74.80","93.84","0.00","-0.40","0"
"31.30","74.50","92.86","0.00","0.00","0"
"31.30","74.80","101.66","0.00","0.37","0"
"31.40","74.50","93.84","0.00","-0.21","0"
"31.30","74.80","94.33","0.00","0.40","0"
"31.30","74.70","101.66","0.00","-0.34","0"
"31.30","74.70","92.38","0.00","-0.21","0"
"31.30","74.80","106.55","0.00","0.37","0"
"31.30","74.70","94.82","0.00","0.79","0"
"31.30","74.80","92.86","0.00","-0.26","0"
"31.30","74.70","93.35","0.00","0.11","0"
"31.30","74.70","92.86","0.00","-0.58","0"
"31.30","74.70","96.77","0.00","-0.79","0"
"31.30","74.70","94.33","0.00","0.69","0"
"31.30","74.70","93.84","0.00","-0.45","0"
"31.30","74.60","93.84","0.00","-0.45","0"
"31.30","74.60","95.31","0.00","-0.45","0"
"31.30","74.60","93.84","0.00","-0.45","0"
"31.30","74.60","93.35","0.00","0.82","0"
"31.30","74.80","92.86","0.00","-0.40","0"
"31.30","74.80","94.82","0.00","-0.48","0"
"31.30","75.00","93.35","0.00","-0.37","0"
"31.40","74.70","94.33","0.00","0.53","0"
"31.30","74.70","96.29","0.00","0.32","0"
"31.30","74.60","98.73","0.00","-0.08","0"
"31.30","74.80","94.33","0.00","0.00","0"
"31.30","75.10","90.91","0.00","0.29","0"
"31.30","74.70","92.86","0.00","0.37","0"
"31.30","74.70","92.86","0.00","-0.21","0"
"31.30","74.50","79.18","0.00","0.24","0"
"31.30","74.90","94.82","0.00","0.50","0"
"31.30","74.70","93.84","0.00","0.03","0"
"31.30","74.80","94.33","0.00","-0.45","0"
"31.30","74.70","88.47","0.00","-0.13","0"
"31.30","74.90","92.86","0.00","-0.32","0"
"31.30","75.00","92.86","0.00","0.37","0"
"31.30","74.70","94.82","0.00","0.24","0"
"31.20","75.00","93.84","0.00","-0.11","0"
"31.30","74.80","86.02","0.00","0.16","0"
"31.20","74.70","90.91","0.00","-0.45","0"
"31.30","74.80","94.33","0.00","-0.11","0"
"31.20","74.80","140.27","0.00","0.03","0"
"31.30","74.70","93.84","0.00","0.00","0"
"31.30","74.80","94.82","0.00","-0.16","0"
"31.30","74.70","93.35","0.00","-0.05","0"
"31.20","74.90","98.24","0.00","-0.11","0"
"31.30","74.80","86.02","0.00","-0.29","0"
"31.30","75.00","93.35","0.00","-0.63","0"
"31.40","74.90","93.84","0.00","-0.05","0"
"31.20","75.00","101.66","0.00","-0.63","0"
"31.30","74.80","93.35","0.00","0.48","0"
"31.30","75.00","92.86","0.00","-0.45","0"
"31.30","75.00","93.84","0.00","-0.53","0"
"31.30","74.70","78.69","0.00","0.13","0"
"31.20","74.90","93.84","0.00","-0.05","0"
"31.30","74.90","92.38","0.00","-0.45","0"
"31.30","74.90","92.38","0.00","0.05","0"
"31.20","74.90","93.84","0.00","-0.42","0"
"31.30","74.80","95.31","0.00","0.18","0"
"31.40","74.80","92.86","0.00","0.03","0"
"31.30","74.70","85.53","0.00","-0.45","0"
"31.30","74.80","96.29","0.00","-2.56","0"
"31.30","75.00","92.38","0.00","0.45","0"
"31.30","74.90","94.82","0.00","0.13","0"
"31.30","74.90","107.53","0.00","-0.74","0"
"31.30","74.70","94.82","0.00","-0.05","0"
"31.30","74.80","89.44","0.00","0.42","0"
"31.40","75.00","83.58","0.00","-0.13","0"
"31.20","74.70","93.84","0.00","0.13","0"
"31.30","74.60","96.77","0.00","-0.16","0"
"31.30","74.90","91.89","0.00","0.74","0"
"31.30","74.80","80.16","0.00","1.51","0"
"31.30","74.90","95.31","0.00","-0.77","0"
"31.20","75.00","95.80","0.00","-0.58","0"
"31.30","75.00","91.40","0.00","2.51","0"
"31.30","74.70","88.47","0.00","-0.18","0"
"31.30","74.80","94.33","0.00","-0.05","0"